stop_id,stop_name,stop_lat,stop_lon,zone_id
1388,S JOÃO BAPTISTA I,41.550800,-8.451663,1
1389,S JOÃO BAPTISTA I,41.550747,-8.451672,1
1390,PAIÓIS,41.548134,-8.446386,1
1391,PAIÓIS,41.548084,-8.446425,1
1392,CIMA I (LIMITE 1/2),41.559910,-8.457421,1
1393,CIMA I (LIMITE 2/1),41.559700,-8.458066,2
1394,BAIXO III,41.566059,-8.466853,2
1395,BAIXO III,41.566044,-8.466951,2
1396,LUSÍADAS II,41.556488,-8.393745,1
1397,PATEIRA II,41.575958,-8.453036,2
1398,COSTA GOMES II,41.553818,-8.440425,1
1399,JOÃO XXI (C AMARANTE),41.550037,-8.412784,1
1401,AMBRÓSIO SANTOS,41.544941,-8.401129,1
1402,CARREIRA II,41.545452,-8.394758,1
1403,DADIM III,41.546902,-8.380891,1
1405,AREAL,41.566013,-8.406234,1
1406,NAIA,41.541088,-8.439136,1
1407,NAIA,41.541000,-8.439095,1
1411,BARRAL II,41.529968,-8.395450,1
1414,MOUTA III,41.533039,-8.429931,1
1415,CIDADE PORTO III,41.535309,-8.436980,1
1416,SANTA CECÍLIA IV,41.514030,-8.478930,2
1418,BAIRRO SOC ENGUARDAS,41.558842,-8.410237,1
1419,QUINTA ARMADA (F O GUIMARÃES),41.561005,-8.403864,1
1420,EGÍDIO GUIMARÃES I,41.544430,-8.402059,1
1423,GABRIEL P CASTRO II,41.554512,-8.424583,1
1424,QUINTA,41.512238,-8.421685,2
1425,QUINTA,41.512249,-8.421546,2
1426,MONTE (IGREJA),41.501820,-8.430302,2
1427,MONTE (IGREJA),41.501823,-8.430214,2
1428,CARREGAL III,41.501179,-8.400157,2
1429,PALÁCIO (JAE),41.498676,-8.408201,2
1430,CARREGAL II,41.499779,-8.403280,2
1431,CARREGAL I,41.499527,-8.405682,2
1432,BARROS E SOARES I,41.535698,-8.423047,1
1433,BARROS E SOARES III,41.531494,-8.418934,1
1434,UNIVERSIDADE,41.561584,-8.393483,1
1435,UNIVERSIDADE (ESCOLA VELHA),41.564610,-8.392571,1
1436,UNIVERSIDADE (ESCOLA VELHA),41.564693,-8.392709,1
1437,S BRÁS I (FÁBRICA),41.567360,-8.391672,1
1438,S BRÁS II,41.568844,-8.391563,1
1439,S BRÁS III (IGREJA),41.569057,-8.389844,1
1440,LAGE (CEMITÉRIO),41.570461,-8.388638,1
1441,ESTÁDIO ,41.565922,-8.431420,1
1442,VERGADELA II,41.572754,-8.382542,1
